"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"670","Radek Smolenak","CHI","L","1","4.6833333333333","5","1","83.33","5","1","83.33","5","1","83.33","0","0","-","2","1","66.67","0","1","0.00","0","0","-","2","0","100.00","0","0","-","2","0","100.00","0","0","-","0.00","100.00","1.000","0","1","1","6","0.00","0","2","2","0.00"
"675","Mikko Lehtonen","BOS","R","1","7.1333333333333","10","2","83.33","7","1","87.50","5","1","83.33","0","1","0.00","2","2","50.00","1","1","50.00","0","1","0.00","1","1","50.00","0","0","-","7","0","100.00","0","0","-","0.00","0.00","0.000","3","1","0","7","100.00","3","1","2","60.00"
"871","Nazem Kadri","TOR","C","1","17.433333333333","20","5","80.00","17","2","89.47","13","1","92.86","1","1","50.00","7","0","100.00","4","0","100.00","1","0","100.00","3","0","100.00","0","0","-","12","4","75.00","0","1","0.00","7.69","0.00","0.077","5","3","0","12","100.00","9","8","0","100.00"
"790","Eric Tangradi","PIT","L","1","13.816666666667","19","5","79.17","10","4","71.43","9","4","69.23","0","0","-","6","3","66.67","3","2","60.00","0","0","-","3","1","75.00","0","0","-","9","2","81.82","0","0","-","0.00","100.00","1.000","1","2","4","11","20.00","5","4","5","50.00"
"706","Jared Ross","PHI","C","3","22.933333333333","21","6","77.78","15","4","78.95","12","4","75.00","0","1","0.00","10","4","71.43","4","2","66.67","0","1","0.00","6","2","75.00","0","0","-","8","2","80.00","0","0","-","0.00","75.00","0.750","5","6","2","19","71.43","5","7","2","71.43"
"533","Drew Larman","BOS","C","4","32.333333333333","37","11","77.08","29","8","78.38","21","6","77.78","0","1","0.00","14","6","70.00","5","0","100.00","0","0","-","9","6","60.00","0","1","0.00","22","5","81.48","0","0","-","0.00","83.33","0.833","6","7","4","25","60.00","10","11","5","66.67"
"797","P.K. Subban","MTL","D","2","40.2","49","18","73.13","29","12","70.73","20","8","71.43","2","0","100.00","17","5","77.27","6","4","60.00","2","0","100.00","11","1","91.67","0","0","-","30","11","73.17","0","0","-","10.00","100.00","1.100","13","12","3","21","81.25","21","15","5","80.77"
"671","Perttu Lindgren","DAL","C","1","8.55","5","2","71.43","3","1","75.00","2","1","66.67","0","0","-","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","2","1","66.67","0","0","-","0.00","100.00","1.000","2","2","0","6","100.00","3","2","0","100.00"
"856","Matt Martin","NYI","L","5","66.183333333333","90","41","68.70","69","31","69.00","44","24","64.71","3","2","60.00","44","26","62.86","21","11","65.63","2","1","66.67","23","15","60.53","0","1","0.00","40","13","75.47","1","0","100.00","6.82","91.67","0.985","19","14","10","36","65.52","35","21","21","62.50"
"738","Jonas Junland","STL","D","3","51.533333333333","80","37","68.38","60","27","68.97","48","21","69.57","3","4","42.86","40","16","71.43","17","7","70.83","1","2","33.33","23","9","71.88","1","1","50.00","32","17","65.31","1","1","50.00","6.25","80.95","0.872","14","15","2","46","87.50","25","16","4","86.21"
"89","Tomas Holmstrom","DET","L","68","1075.4833333333","1324","637","67.52","995","515","65.89","697","366","65.57","70","33","67.96","637","282","69.31","263","121","68.49","41","14","74.55","374","161","69.91","13","5","72.22","601","301","66.63","16","12","57.14","10.04","90.98","1.010","324","246","139","686","69.98","489","323","216","69.36"
"578","Peter Olvecky","NSH","L","1","7.8833333333333","4","2","66.67","3","2","60.00","3","2","60.00","0","0","-","1","1","50.00","0","0","-","0","0","-","1","1","50.00","0","0","-","3","1","75.00","0","0","-","0.00","100.00","1.000","1","2","0","7","100.00","1","3","3","25.00"
"874","Anton Klementyev","NYI","D","1","6.3333333333333","4","2","66.67","3","2","60.00","2","1","66.67","0","0","-","3","1","75.00","1","0","100.00","0","0","-","2","1","66.67","0","0","-","0","1","0.00","0","0","-","0.00","100.00","1.000","2","0","0","6","100.00","3","0","0","100.00"
"581","Johan Franzen","DET","R","27","505.06666666667","600","310","65.93","449","240","65.17","319","163","66.18","35","19","64.81","286","134","68.10","108","53","67.08","19","7","73.08","178","81","68.73","7","3","70.00","279","147","65.49","9","8","52.94","10.97","88.34","0.993","141","110","89","308","61.30","206","132","120","63.19"
"540","Alex Ovechkin","WSH","L","72","1569.4166666667","2197","1143","65.78","1576","860","64.70","1108","623","64.01","148","45","76.68","1116","556","66.75","413","223","64.94","75","24","75.76","703","333","67.86","44","12","78.57","938","490","65.69","25","9","73.53","13.36","92.78","1.061","264","241","98","803","72.93","680","457","290","70.10"
"639","Jack Skille","CHI","R","6","45.966666666667","45","24","65.22","34","13","72.34","27","12","69.23","2","5","28.57","12","15","44.44","6","4","60.00","2","3","40.00","6","11","35.29","0","1","0.00","26","7","78.79","0","1","0.00","7.41","58.33","0.657","12","10","5","42","70.59","17","15","8","68.00"
"609","Mark Mancari","BUF","R","6","84.433333333333","103","55","65.19","73","41","64.04","56","32","63.64","3","0","100.00","55","32","63.22","29","11","72.50","2","0","100.00","26","21","55.32","0","0","-","42","21","66.67","1","0","100.00","5.36","100.00","1.054","14","14","11","58","56.00","24","18","22","52.17"
"807","Patrick Kane","CHI","R","82","1575.0666666667","1856","1008","64.80","1407","754","65.11","1021","558","64.66","106","55","65.84","868","509","63.04","359","200","64.22","64","31","67.37","509","309","62.22","25","14","64.10","889","430","67.40","16","9","64.00","10.38","90.14","1.005","377","319","93","1086","80.21","685","477","204","77.05"
"771","Trevor Frischmon","CBJ","C","3","18.3","11","6","64.71","7","4","63.64","4","4","50.00","0","0","-","5","2","71.43","3","2","60.00","0","0","-","2","0","100.00","0","0","-","6","3","66.67","0","0","-","0.00","100.00","1.000","0","3","1","27","0.00","2","4","1","66.67"
"203","Mikael Samuelsson","VAN","R","74","1270.9333333333","1458","840","63.45","1085","665","62.00","773","502","60.63","90","44","67.16","653","379","63.28","243","154","61.21","46","26","63.89","410","225","64.57","22","11","66.67","704","385","64.65","21","7","75.00","11.64","91.24","1.029","280","292","146","874","65.73","481","410","291","62.31"
"210","Pavel Datsyuk","DET","C","80","1627.8333333333","1888","1096","63.27","1430","874","62.07","1014","635","61.49","96","50","65.75","923","460","66.74","362","194","65.11","54","24","69.23","561","266","67.84","24","12","66.67","855","539","61.33","16","12","57.14","9.47","92.13","1.016","408","368","260","990","61.08","644","478","416","60.75"
"11","Bill Guerin","PIT","R","78","1367.2666666667","1708","994","63.21","1296","731","63.94","923","509","64.46","87","58","60.00","784","494","61.35","301","183","62.19","44","32","57.89","483","311","60.83","21","14","60.00","841","409","67.28","21","7","75.00","9.43","88.61","0.980","363","278","129","716","73.78","681","446","252","72.99"
"160","Brian Campbell","CHI","D","68","1578.6","1678","985","63.01","1260","721","63.60","947","534","63.94","89","50","64.03","802","476","62.75","309","184","62.68","56","34","62.22","493","292","62.80","18","11","62.07","777","442","63.74","14","4","77.78","9.40","90.64","1.000","274","318","131","1087","67.65","567","491","304","65.10"
"765","Jonathan Toews","CHI","C","76","1520.7","1719","1013","62.92","1296","738","63.72","960","546","63.75","108","56","65.85","835","494","62.83","341","192","63.98","63","29","68.48","494","302","62.06","28","13","68.29","795","448","63.96","16","13","55.17","11.25","89.74","1.010","365","303","187","1011","66.12","662","457","333","66.53"
"303","Jason Williams","DET","C","44","595.33333333333","670","395","62.91","503","317","61.34","373","253","59.58","25","19","56.82","288","190","60.25","99","81","55.00","8","9","47.06","189","109","63.42","6","7","46.15","333","173","65.81","11","3","78.57","6.70","92.49","0.992","162","132","66","433","71.05","240","174","123","66.12"
"342","Patrick Sharp","CHI","L","82","1486.6833333333","1680","991","62.90","1283","723","63.96","940","541","63.47","98","55","64.05","763","482","61.29","297","186","61.49","60","35","63.16","466","296","61.15","27","10","72.97","818","440","65.02","11","8","57.89","10.43","89.83","1.003","348","294","148","1058","70.16","599","458","267","69.17"
"787","Nick Palmieri","N.J","R","6","70.516666666667","69","41","62.73","43","28","60.56","33","22","60.00","4","3","57.14","25","22","53.19","9","8","52.94","0","2","0.00","16","14","53.33","1","0","100.00","38","16","70.37","3","1","75.00","12.12","86.36","0.985","18","9","6","69","75.00","28","17","12","70.00"
"148","Marian Hossa","CHI","R","57","1067.4166666667","1199","714","62.68","928","516","64.27","669","390","63.17","64","36","64.00","586","358","62.08","225","132","63.03","40","18","68.97","361","226","61.50","18","10","64.29","551","296","65.05","6","6","50.00","9.57","90.77","1.003","230","238","105","769","68.66","394","358","202","66.11"
"698","Patric Hornqvist","NSH","R","80","1255","1429","858","62.48","1104","648","63.01","809","465","63.50","74","33","69.16","635","351","64.40","274","148","64.93","38","24","61.29","361","203","64.01","18","6","75.00","690","426","61.83","16","3","84.21","9.15","92.90","1.021","277","240","125","929","68.91","488","369","290","62.72"
"220","Daniel Sedin","VAN","L","63","1205.75","1445","869","62.45","1095","689","61.38","782","507","60.67","108","47","69.68","729","450","61.83","332","177","65.23","64","25","71.91","397","273","59.25","20","11","64.52","626","369","62.91","22","8","73.33","13.81","90.73","1.045","358","299","134","770","72.76","580","413","246","70.22"
"749","Michael Grabner","VAN","R","20","278.11666666667","376","227","62.35","298","183","61.95","211","131","61.70","16","7","69.57","190","117","61.89","82","46","64.06","8","5","61.54","108","71","60.34","1","2","33.33","159","94","62.85","6","0","100.00","7.58","94.66","1.022","56","71","34","237","62.22","96","87","69","58.18"
"36","Derek Armstrong","STL","C","6","41.916666666667","48","29","62.34","38","26","59.38","26","18","59.09","0","2","0.00","20","13","60.61","6","7","46.15","0","1","0.00","14","6","70.00","0","0","-","25","16","60.98","0","1","0.00","0.00","88.89","0.889","6","10","3","48","66.67","11","13","6","64.71"
"196","Alexei Ponikarovsky","PIT, TOR","L","77","1267.75","1553","951","62.02","1149","693","62.38","810","503","61.69","75","60","55.56","703","420","62.60","275","159","63.36","39","30","56.52","428","261","62.12","18","17","51.43","749","457","62.11","17","10","62.96","9.26","88.07","0.973","286","280","137","820","67.61","509","446","294","63.39"
"478","Colin McDonald","EDM","R","2","13.383333333333","13","8","61.90","10","7","58.82","9","6","60.00","1","0","100.00","5","2","71.43","4","0","100.00","0","0","-","1","2","33.33","0","0","-","7","6","53.85","1","0","100.00","11.11","100.00","1.111","4","3","1","12","80.00","5","3","3","62.50"
"562","Bryan Bickell","CHI","L","16","153.5","146","91","61.60","113","58","66.08","87","43","66.92","7","3","70.00","69","45","60.53","21","19","52.50","4","1","80.00","48","26","64.86","0","1","0.00","70","40","63.64","3","1","75.00","8.05","93.02","1.011","29","29","13","143","69.05","45","44","30","60.00"
